"編號","動作名稱","英文名稱","技術類型","代碼"
"1","拉球","drive","攻擊","1"
"2","反拉","counter drive","攻擊","2"
"3","殺球","smash","攻擊","3"
"4","擰球","backhand twist","攻擊","4"
"5","快帶","fast drive","攻擊","5"
"6","推擠","fast push","攻擊","6"
"7","挑撥","flip","攻擊","7"
"8","拱球","pimple’s long push","控制","8"
"9","磕球","pimple’s fast push","控制","9"
"10","搓球","long push","控制","10"
"11","擺短","drop shot","控制","11"
"12","削球","chop","防守","12"
"13","擋球","block","防守","13"
"14","放高球","lob","防守","14"
"15","傳統","traditional","發球","15"
"16","勾手","hook","發球","16"
"17","逆旋轉","reverse","發球","17"
"18","下蹲式","squat","發球","18"
"0","無","none","無","0"
